paper_author,paper_title,paper_date,in_text_citation
"Peake, Jeffrey S.",Agenda setting dynamics and differences across issues: agenda setting on the economy and foreign policy,2016,Peake 2016
"Sakurai, Hiroaki",Foreign Aid and Direct Effect of Poverty Reduction in Thailand,2024,Sakurai 2024
"Riaao-Rodrrguez, Juan Felipe",More than Words and Good Intentions: The Political Agenda-Setting Power Behind Foreign Aid Mechanisms,2014,Riaao-Rodrrguez 2014
"Martins, Pedro M. G.","The Impact of Foreign Aid on Government Spending, Revenue and Domestic Borrowing in Ethiopia",2009,Martins 2009
"Ingram, George",Locally Driven Development,2022,Ingram 2022
"Leo, Benjamin",Is Anyone Listening? Does US Foreign Assistance Target People's Top Priorities?,2013,Leo 2013
"Lundsgaarde, Erik",Bureaucratic pluralism in global development: Challenges for Germany and the United States,2014,Lundsgaarde 2014
"Kentikelenis, Alexander; King, Lawrence; McKee, Martin; Stuckler, David",The International Monetary Fund and the Ebola outbreak,2015,Kentikelenis et al. 2015
"Barnett, Michael N.; Finnemore, Martha","The Politics, Power, and Pathologies of International Organizations",1999,Barnett et al. 1999
"La Porta, Rafael; Shleifer, Andrei",Informality and Development,2014,La Porta et al. 2014
"Hummels, David",Transportation Costs and International Trade in the Second Era of Globalization,2007,Hummels 2007
"Rogge, Karoline S.; Reichardt, Kristin",Policy mixes for sustainability transitions: An extended concept and framework for analysis,2016,Rogge et al. 2016
"Tosun, Cevat",Limits to community participation in the tourism development process in developing countries,2000,Tosun 2000
"Banks, Nicola; Hulme, David; Edwards, Michael","NGOs, States, and Donors Revisited: Still Too Close for Comfort?",2015,Banks et al. 2015
"Autor, David H; Dorn, David; Hanson, Gordon H",The China Syndrome: Local Labor Market Effects of Import Competition in the United States,2013,Autor et al. 2013
"Child, John; Marinova, Svetla",The Role of Contextual Combinations in the Globalization of Chinese Firms,2014,Child et al. 2014
"Engel, Stefanie; Pagiola, Stefano; Wunder, Sven",Designing payments for environmental services in theory and practice: An overview of the issues,2008,Engel et al. 2008
"Rodrik, Dani",Industrial policy for the twenty-first century,2004,Rodrik 2004
"Cotula, Lorenzo",Land grab or development opportunity?: agricultural investment and international land deals in Africa,2009,Cotula 2009
World Bank,World Development Report 1992: Development and the Environment,1992,World Bank 1992
"Meara, John G; Leather, Andrew J M; Hagander, Lars; Alkire, Blake C; Alonso, Nivaldo; Ameh, Emmanuel A; Bickler, Stephen W; Conteh, Lesong; Dare, Anna J; Davies, Justine; Mérisier, Eunice Dérivois; El-Halabi, Shenaaz; Farmer, Paul E; Gawande, Atul; Gillies, Rowan; Greenberg, Sarah L M; Grimes, Caris E; Gruen, Russell L; Ismail, Edna Adan; Kamara, Thaim Buya; Lavy, Chris; Lundeg, Ganbold; Mkandawire, Nyengo C; Raykar, Nakul P; Riesel, Johanna N; Rodas, Edgar; Rose, John; Roy, Nobhojit; Shrime, Mark G; Sullivan, Richard; Verguet, Stéphane; Watters, David; Weiser, Thomas G; Wilson, Iain H; Yamey, Gavin; Yip, Winnie","Global Surgery 2030: evidence and solutions for achieving health, welfare, and economic development",2015,Meara et al. 2015
"Gupta, Joyeeta; Vegelin, Courtney",Sustainable development goals and inclusive development,2016,Gupta et al. 2016
"D'ignazio, Catherine; Klein, Lauren F.",Data feminism,2023,D'ignazio et al. 2023
"Fraser, Nancy","Social justice in the age of identity politics: Redistribution, recognition, and participation",2008,Fraser 2008
"Risk, Disaster",REDUCING DISASTER RISK a challenge for development,2004,Risk 2004
"Hariram, N. P.; Mekha, K. B.; Suganthan, Vipinraj; Sudhakar, Kumarasamy",Sustainalism: An integrated socio-economic-environmental model to address sustainable development and sustainability,2023,Hariram et al. 2023
"Bardhan, Pranab",Decentralization of Governance and Development,2002,Bardhan 2002
World Bank,World Development Report 1989,1989,World Bank 1989
"Beh, Loo-See","Development and Distortion of Malaysian Public‐Private Partnerships–Patronage, Privatised Profits and Pitfalls",2010,Beh 2010
"Hofstede, Geert",The cultural relativity of organizational practices and theories,1983,Hofstede 1983
"Anderson, Elizabeth S.",What is the Point of Equality?,1999,Anderson 1999
"Simmons, Beth A.; Elkins, Zachary",The globalization of liberalization: Policy diffusion in the international political economy,2004,Simmons et al. 2004
"Walt, Gill; Gilson, Lucy",Reforming the health sector in developing countries: the central role of policy analysis,1994,Walt et al. 1994
"Deaton, Angus; Cartwright, Nancy",Understanding and Misunderstanding Randomized Controlled Trials,2016,Deaton et al. 2016
"Abbass, Kashif; Qasim, Muhammad Zeeshan; Song, Huaming; Murshed, Muntasir; Mahmood, Haider; Younis, Ijaz","A review of the global climate change impacts, adaptation, and sustainable mitigation measures",2022,Abbass et al. 2022
"Jamison, Dean T.; Summers, Lawrence H.; Alleyne, George; Arrow, Kenneth J.; Berkley, Seth; Binagwaho, Agnes; Bustreo, Flavia; Evans, David; Feachem, Richard GA; Frenk, Julio",Global health 2035: a world converging within a generation,2013,Jamison et al. 2013
"Bloom, Nicholas; Van Reenen, John",Why do management practices differ across firms and countries?,2010,Bloom et al. 2010
"Dasgupta, Susmita; Laplante, Benoit; Wang, Hua; Wheeler, David",Confronting the Environmental Kuznets Curve,2002,Dasgupta et al. 2002
OECD,Paris Declaration on Aid Effectiveness,2005,OECD 2005_2
"Ullah, A. K. M Ahsan; Ibrahim, Khairunnisa; Islam, Mozharul",Foreign Aid in Global Development: Empowerment or Entrapment?,2025,Ullah et al. 2025
OECD,"DAC Guiding Principles for Aid Effectiveness, Gender Equality and Women's Empowerment",2009,OECD 2009_2
"Carcelli, Shannon P.",Bureaucracy at the Border: The Fragmentation of United States Foreign Aid,2024,Carcelli 2024
"Siyal, Pirah; Siyal, Sundas",Strengthening Local Climate Leadership: Evaluating a Community-Based Empowerment Initiative,2025,Siyal et al. 2025
"Azfar, Omar; Kahkonen, Satu; Lanyi, Anthony; Meagher, Patrick; Rutherford, Diana","Decentralization, governance and public services: The impact of institutional arrangements",1999,Azfar et al. 1999
"Kioko, Caroline",The Impact of Development Aid on Gender Equality: A Kenyan Case Study,2023,Kioko 2023
"Ahmad, Tariq; Wainer, Andrew",The Power of Ownership: Transforming US Foreign Assistance,2016,Ahmad et al. 2016_2
"Rose, Sarah; Kalow, Jared; Parks, Bradley; Masaki, Takaaki",The use and utility of US government approaches to country ownership: New insights from partner countries,2016,Rose et al. 2016
"Dunning, Casey; Rose, Sarah; McGillem, Claire",Implementing ownership at USAID and MCC: A US agency-level perspective,2017,Dunning et al. 2017
"Rose, Sarah",Focusing on Fragility: The Future of US Assistance to Fragile States,2019,Rose 2019
"Ahmad, Tariq","To Fight Corruption, Localize Aid: How US foreign assistance can support a locally driven fight against corruption",2015,Ahmad 2015_2
"Kratochwil, Friedrich; Ruggie, John Gerard",International Organization: A State of the Art on an Art of the State,1986,Kratochwil et al. 1986
"Anand, Sudhir; Ravallion, Martin",Human development in poor countries: on the role of private incomes and public services,1993,Anand et al. 1993
"Sabel, Charles F.; Zeitlin, Jonathan",Learning from difference: The new architecture of experimentalist governance in the EU,2008,Sabel et al. 2008
"Trebilcock, Anne",Decent work and the informal economy,2005,Trebilcock 2005
"Bekker, Linda-Gail; Alleyne, George; Baral, Stefan; Cepeda, Javier; Daskalakis, Demetre; Dowdy, David; Dybul, Mark; Eholie, Serge; Esom, Kene; Garnett, Geoff; Grimsrud, Anna; Hakim, James; Havlir, Diane; Isbell, Michael T; Johnson, Leigh; Kamarulzaman, Adeeba; Kasaie, Parastu; Kazatchkine, Michel; Kilonzo, Nduku; Klag, Michael; Klein, Marina; Lewin, Sharon R; Luo, Chewe; Makofane, Keletso; Martin, Natasha K; Mayer, Kenneth; Millett, Gregorio; Ntusi, Ntobeko; Pace, Loyce; Pike, Carey; Piot, Peter; Pozniak, Anton; Quinn, Thomas C; Rockstroh, Jurgen; Ratevosian, Jirair; Ryan, Owen; Sippel, Serra; Spire, Bruno; Soucat, Agnes; Starrs, Ann; Strathdee, Steffanie A; Thomson, Nicholas; Vella, Stefano; Schechter, Mauro; Vickerman, Peter; Weir, Brian; Beyrer, Chris",Advancing global health and strengthening the HIV response in the era of the Sustainable Development Goals: the International AIDS Society—Lancet Commission,2018,Bekker et al. 2018
"Haldane, Victoria; De Foo, Chuan; Abdalla, Salma M.; Jung, Anne-Sophie; Tan, Melisa; Wu, Shishi; Chua, Alvin; Verma, Monica; Shrestha, Pami; Singh, Sudhvir",Health systems resilience in managing the COVID-19 pandemic: lessons from 28 countries,2021,Haldane et al. 2021
"Ottersen, Ole Petter; Dasgupta, Jashodhara; Blouin, Chantal; Buss, Paulo; Chongsuvivatwong, Virasakdi; Frenk, Julio; Fukuda-Parr, Sakiko; Gawanas, Bience P.; Giacaman, Rita; Gyapong, John",The political origins of health inequity: prospects for change,2014,Ottersen et al. 2014
"Van Tulder, Rob; Van Zanten, Jan",Multinational enterprises and the Sustainable Development Goals: An institutional approach to corporate engagement,2018,Van Tulder et al. 2018
"Ferguson, James","The Anti-politics Machine: ""development,"" Depoliticization, and Bureaucratic Power in Lesotho",1994,Ferguson 1994
"Escobar, A.",Encountering Development: The Making and Unmaking of the Third World,2011,Escobar 2011
"Gibson, Clark; Andersson, Krister; Ostrom, Elinor; Shivakumar, Sujai",The Samaritan's Dilemma: The Political Economy of Development Aid,2005,Gibson et al. 2005
"Lancaster, Carol","Foreign Aid: Diplomacy, Development, Domestic Politics",2008,Lancaster 2008_1
"Lancaster, Carol; Van Dusen, Ann",Organizing U.S. Foreign Aid: Confronting the Challenges of the Twenty-First Century,2005,Lancaster et al. 2005
"Al Jumah, K",The Impact of a Decision Aid on Depressed Patients’ Involvement in Shared Decision Making: A Pilot Randomized Controlled Double-Blinded Study,2016,Al Jumah 2016
"Wheeler, Patrick R.; Jones, Donald R.",The Effects of Exclusive User Choice of Decision Aid Features on Decision Making,2003,Wheeler et al. 2003
"Kouamou, G.; Pettang, C.",A Federative Approach of Decision-Making Aid in Urban Development:,2008,Kouamou et al. 2008
"Shyrokykh, Karina; Dellmuth, Lisa",Climate change framings and linkages across international organizations,2025,Shyrokykh et al. 2025
"Kostic, T.; Cherkaoui, R.; Germond, A.; Pruvot, P.",Decision aid function for restoration of transmission power systems: conceptual design and real time considerations,1998,Kostic et al. 1998
"Pittinsky, Todd L.; Poon, Bonnie",Upward Advice Transmission to Leaders in Organizations: Review and Conceptual Analysis.,2005,Pittinsky et al. 2005
"Selchow, Sabine; Sluga, Glenda","Development, international organizations and international economic thinking: a conceptual contribution",2024,Selchow et al. 2024
"Hudson, John",Consequences of Aid Volatility for Macroeconomic Management and Aid Effectiveness,2015,Hudson 2015
"Niedziółka, Monika","LEGAL, INSTITUTIONAL AND FINANCIAL FORMS OF STATE AID FOR DISABLED STUDENTS",2024,Niedziółka 2024
"Iannantuoni, Alice",Foreign aid volatility and institutional development,2025,Iannantuoni 2025
"Heimler, Alberto",State Aid Control: Are the Standards and the Institutional Setting Appropriate?,2018,Heimler 2018
"Tamim, Suha R.",Inquiry-Based Learning for Faculty and Institutional Development: A Conceptual and Practical Resource for Educators,2016,Tamim 2016
Millenium Challenge Corporation,Domestic Resource Mobilization,,Millenium Challenge Corporation n.d.
"Scheufele, Dietram A.; Tewksbury, David","Framing, Agenda Setting, and Priming: The Evolution of Three Media Effects Models: Models of Media Effects",2007,Scheufele et al. 2007
"Johnson, Michael; Midgley, Gerald; Wright, Jason; Chichirau, George","Community Operational Research: Innovations, internationalization and agenda-setting applications",2018,Johnson et al. 2018
"Zahariadis, Nikolaos","Setting the agenda on agenda setting: definitions, concepts, and controversies",2025,Zahariadis 2025
"Colling, Leandro",Agenda-setting e framing: reafirmando os efeitos limitados,2008,Colling 2008
"Forde, Noelle",Agenda-Setting and Framing Effects in Both the Vietnam and Iraq Wars,2019,Forde 2019
"Liu, C.-C.; Lee, S.J.; Venkata, S.S.",An expert system operational aid for restoration and loss reduction of distribution systems,1988,Liu et al. 1988
"Lee, Heung-Jae; Park, Young-Moon",A restoration aid expert system for distribution substations,1996,Lee et al. 1996
"McKechnie, Alastair; Rabinowitz, Gideon",Localising aid: can using local actors strengthen them?,2012,McKechnie et al. 2012
"Lanati, Mauro",Ideological Conditionality of Foreign Aid during the Cold War: Did Western Allies Follow the US,2019,Lanati 2019
"Patel, Vikram; Saxena, Shekhar; Lund, Crick; Thornicroft, Graham; Baingana, Florence; Bolton, Paul; Chisholm, Dan; Collins, Pamela Y.; Cooper, Janice L.; Eaton, Julian",The Lancet Commission on global mental health and sustainable development,2018,Patel et al. 2018
"Tuck, Eve; Yang, K. Wayne",Decolonization is not a metaphor,2012,Tuck et al. 2012
"Xu, Chenggang",The Fundamental Institutions of China's Reforms and Development,2011,Xu 2011
"Feldman, Martha S.",Organizational routines as a source of continuous change,2000,Feldman 2000
World Bank,World Development Report 1986,1986,World Bank 1986
"Bank, World",Accelerated Development in Sub-Saharan Africa: An Agenda for Action,1982,World Bank 1982
"Brainard, Lael","Security by Other Means: Foreign Assistance, Global Poverty, and American Leadership",2007,Brainard 2007
"Lancaster, C.",George Bush's Foreign Aid: Transformation Or Chaos?,2008,Lancaster 2008_2
OECD,Paris Declaration on Aid Effectiveness,2005,OECD 2005_3
United Nations General Assembly,Transforming Our World: The 2030 Agenda for Sustainable Development,2015,United Nations General Assembly 2015
United Nations,"International Conference On Financing For Development 2015: Addis Ababa, Ethiopia",2015,United Nations 2015
Harry S. Truman,Inaugural Address,1949,Harry S. Truman 1949
"Rostow, Walt; Press, Cambridge University",The Stages of Economic Growth: A Non-communist Manifesto,1960,Rostow et al. 1960
"Vatter, H.G.; Walker, J.F.",History of the U. S. Economy Since World War II,1995,Vatter et al. 1995
"Smith, Brian H.",European and Canadian Private Foreign Aid since World War II: Creating New Modes of Political and Economic Influence Abroad in the Post-Colonial Era,1990,Smith 1990_1
"Walcher, Dustin","Structuring the Economy on the Periphery: The United States, the 1958 Argentine Stabilization Agreement, and the Evolution of Global Capitalism",2017,Walcher 2017
"Orr, Robert M.",Collaboration or Conflict? Foreign Aid and U.S.-Japan Relations,1989,Orr 1989
"Smith, Brian H.",U.S. Private Foreign Aid since World War II: Exporting the American Dreams of Self-Reliance and Democracy,1990,Smith 1990_2
"Dalby, Simon",Peripheral Places/Global War,2017,Dalby 2017
none,Back Matter,2017,none 2017_1
none,Front Matter,2017,none 2017_2
"Sewell, Bevan; Ryan, Maria",Foreign Policy at the Periphery: The Shifting Margins of US International Relations since World War II,2017,Sewell et al. 2017
"Onea, T.",US Foreign Policy in the Post-Cold War Era: Restraint versus Assertiveness From George H. W. Bush To Barack Obama,2013,Onea 2013_1
"Hurst, Steven",Post-revisionism,2005,Hurst 2005
"Khadka, Narayan",Foreign Aid to Nepal: Donor Motivations in the Post-Cold War Period,1997,Khadka 1997
"Onea, T.",US Foreign Policy in the Post-Cold War Era: Restraint versus Assertiveness From George H. W. Bush To Barack Obama. Prestige and Assertiveness in Kosovo,2013,Onea 2013_2
"Clapp, Jennifer",Fighting Hunger: The Cold War and US Foreign Aid,2013,Clapp 2013
"Beland, Louis-Philippe",Political Parties and Labor-Market Outcomes: Evidence from US States,2015,Beland 2015
"Bertocchi, Graziella; Dimico, Arcangelo; Lancia, Francesco; Russo, Alessia","Youth Enfranchisement, Political Responsiveness, and Education Expenditure: Evidence from the US",2020,Bertocchi et al. 2020
"Lunsford, Kurt G.; West, Kenneth D.",Some Evidence on Secular Drivers of US Safe Real Rates,2019,Lunsford et al. 2019
"Abreu, Marcelo de Paiva","Anglo-Brazilian Economic Relations and the Consolidation of American Pre-Eminence in Brazil, 1930-1945",1985,Abreu 1985
"Dippel, Christian",Political Parties Do Matter in U.S. Cities ... For Their Unfunded Pensions,2019,Dippel 2019
"Harrison, M.",The Soviet Union after 1945: Economic Recovery and Political Repression,2011,Harrison 2011
"Karakaya, İskender","US TRANSATLANTIC POLICIES AND US-EU TRANSATLANTIC RELATIONS FROM A HISTORICAL, POLITICAL, ECONOMIC AND SOCIO-CULTURAL PERSPECTIVE",2023,Karakaya 2023
"Lee, James","Foreign Aid, Development, and US Strategic Interests in the Cold War",2022,Lee 2022
"Nivola, Pietro S.","Commercializing Foreign Policy? American Trade Policy, Then and Now",1997,Nivola 1997
"Booth, David; Fritz, Verena","Good governance, aid modalities and poverty reduction",2008,Booth et al. 2008
"Kinder, Molly",Beyond bullets and bombs: Fixing the US approach to development in Pakistan,2011,Kinder 2011
"Norton, Andrew","How the 9/11 decade changed the aid, security and development landscape",2011,Norton 2011
"Mandaville, Alicia Phillips",Foreign Assistance Directly in the National Interest: A Primer for Policymakers,2017,Mandaville 2017
"Berger, Mark T.","After the Third World? History, destiny and the fate of Third Worldism",2013,Berger 2013
"Copeland, Brian R.; Taylor, M. Scott","Trade, growth, and the environment",2004,Copeland et al. 2004
"Dell, Melissa; Jones, Benjamin F.; Olken, Benjamin A.",What Do We Learn from the Weather? The New Climate-Economy Literature,2014,Dell et al. 2014
"Kilian, Lutz; Murphy, Daniel P.",THE ROLE OF INVENTORIES AND SPECULATIVE TRADING IN THE GLOBAL MARKET FOR CRUDE OIL,2014,Kilian et al. 2014
"Jensen, Michael C.","The Modern Industrial Revolution, Exit, and the Failure of Internal Control Systems",1993,Jensen 1993
"Collier, Ruth Berins; Collier, David",Shaping the Political Arena,2002,Collier et al. 2002
"Mearsheimer, John J.",Bound to Fail: The Rise and Fall of the Liberal International Order,2019,Mearsheimer 2019
"Besley, Timothy; Persson, Torsten",Why Do Developing Countries Tax So Little?,2014,Besley et al. 2014
"Haggard, Stephan; Simmons, Beth A.",Theories of International Regimes,1987,Haggard et al. 1987
"Witt, Michael A.","De-globalization: Theories, predictions, and opportunities for international business research",2019,Witt 2019
"Barkawi, Tarak; Laffey, Mark",The Postcolonial Moment in Security Studies,2006,Barkawi et al. 2006
"Javorcik, Beata Smarzynska",Does foreign direct investment increase the productivity of domestic firms? In search of spillovers through backward linkages,2004,Javorcik 2004
"Chambers, Robert",Rural development: Putting the last first,2014,Chambers 2014
"Landau, Loren B.; Achiume, E. Tendayi",Global trends: forced displacement in 2015,2017,Landau et al. 2017
"Woolcock, Michael; Narayan, Deepa","Social Capital: Implications for Development Theory, Research, and Policy",2000,Woolcock et al. 2000
"Adler-Nissen, Rebecca","Stigma management in international relations: Transgressive identities, norms, and order in international society",2014,Adler-Nissen 2014
"Baumol, William J.; Litan, Robert E.; Schramm, Carl J.","Good capitalism, bad capitalism, and the economics of growth and prosperity",2007,Baumol et al. 2007
"Krueger, Anne O.",Government failures in development,1990,Krueger 1990
"Wade, Robert H.",The developmental state: dead or alive?,2018,Wade 2018
"Fernando, Jude Lal",Lost Lives and a Missed Political Opportunity: The Politics of Conflict and Peace in Post-Tsunami Sri Lanka.,2015,Fernando 2015
"Bush, Kenneth David; Saltarelli, Diana",The two faces of education in ethnic conflict: Towards a peacebuilding education for children,2000,Bush et al. 2000
"Benatar, Solomon R.; Daar, Abdallah S.; Singer, Peter A.",Global health ethics: the rationale for mutual caring,2003,Benatar et al. 2003
"Gupta, Joyeeta; Pouw, Nicky RM; Ros-Tonen, Mirjam AF",Towards an elaborated theory of inclusive development,2015,Gupta et al. 2015
"Rampton, David; Nadarajah, Suthaharan",A long view of liberal peace and its crisis,2017,Rampton et al. 2017
"Palm, Trineke; Crum, Ben",Military operations and the EU’s identity as an international security actor,2019,Palm et al. 2019
"Fisher-Onar, Nora; Kavalski, Emilian",From trans-Atlantic order to Afro-Eur-Asian worlds? Reimagining international relations as interlocking regional worlds,2022,Fisher-Onar et al. 2022
"Maass, Richard W.",Racialization and international security,2023,Maass 2023
"Gulick, John",The Long Twentieth Century and Barriers to China's Hegemonic Accession,2011,Gulick 2011
"Selenica, Ervjola",Analysing a non-IR field through IR lenses. Education in post-conflict Kosovo,2022,Selenica 2022
,,,
